id_emp,latitude,longitude,type
2732140,-20.08,-49.9183,FINAL
2732245,-20.08,-49.9183,PTO_IBAMA
2732350,-22.9797,-49.8697,FINAL
2732426,-22.0174,-47.886,FINAL
2732736,-23.9888,-46.258,FINAL
2732901,-23.5329,-46.6395,FINAL
2732964,-23.4332,-45.0834,FINAL
2733117,-23.4969,-47.4451,FINAL
2733237,-23.1101,-47.7164,FINAL
2733351,-23.5329,-46.6395,FINAL
2733462,-23.5329,-46.6395,FINAL
2733499,-23.5329,-46.6395,FINAL
2733612,-23.0302,-46.9833,FINAL
2733991,-23.5329,-46.6395,FINAL
2734041,-23.5057,-46.879,FINAL
2734817,-23.5329,-46.6395,FINAL
2734958,-23.5329,-46.6395,FINAL
2736115,-23.5329,-46.6395,FINAL
2736142,-23.5329,-46.6395,PTO_IBAMA
2736238,-24.7307,-47.5383,FINAL
2736482,-22.3984,-47.5546,FINAL
2737350,-23.5329,-46.6395,FINAL
2737428,-23.4332,-45.0834,FINAL
2737837,-23.5329,-46.6395,FINAL
2738021,-20.8113,-49.3758,FINAL
2738161,-23.5398,-47.185,FINAL
2738218,-23.4439,-46.9178,FINAL
2738555,-23.0575,-49.6279,PTO_IBAMA
2738757,-20.4326,-51.3426,FINAL
2740034,-23.9535,-46.335,FINAL
2740059,-22.7374,-47.3331,FINAL
2740218,-23.5329,-46.6395,PTO_IBAMA
2740448,-20.6557,-49.3842,FINAL
2740587,-22.3673,-48.3819,FINAL
2740590,-22.9053,-47.0659,PTO_IBAMA
2740644,-23.4538,-46.5333,FINAL
2740680,-23.5329,-46.6395,FINAL
2740977,-23.8638,-49.14,FINAL
2741035,-23.5329,-46.6395,PTO_IBAMA
2741073,-23.226,-47.9545,PTO_IBAMA
2741323,-20.5352,-47.4039,FINAL
2741394,-20.1444,-50.1973,FINAL
2741625,-22.7338,-47.6476,FINAL
2741896,-20.8113,-49.3758,PTO_IBAMA
2741929,-23.6125,-45.4125,FINAL
2741939,-2.3299,-53.7938,MANEJO
2741940,-1.79,-53.47,MANEJO
2741941,-2.7168,-53.6944,MANEJO
